site;fish;parspeciesrichness;div_shannon;div_simpson;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;weigh (g);length;SMI;Sex ;Gyr;Tri;Glu;ecto_screener;Con;CysL;Pro;Aca;Cam;Ang;CysI;endo_screener;PI;PI_ecto;PI_endo
2;11;1;0;0;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;106;1.06;41;0.814792897;M;0;0;0;PH;0;0;0;4;0;0;0;PH;10.000002;0;10.000002
2;12;1;0;0;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;29;0.29;35;0.378252469;M;0;3;0;ID;0;0;0;0;0;0;0;ID;0.025273792;0.025273792;0
2;13;0;0;1;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;63;0.63;42;0.446793996;M;0;0;0;ID;0;0;0;0;0;0;0;ID;0;0;0
2;14;2;0.693147181;0.5;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;26;0.26;34;0.373618966;F;1;1;0;ID;0;0;0;0;0;0;0;ID;0.311454796;0.311454796;0
2;15;1;0;0;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;17;0.17;32;0.299153138;F;0;4;0;ID;0;0;0;0;0;0;0;ID;0.033698389;0.033698389;0
2;16;0;0;1;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;34;0.34;37;0.368307009;M;0;0;0;ID;0;0;0;0;0;0;0;ID;0;0;0
2;17;3;0.721463687;0.402777778;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;88;0.88;42;0.624093201;M;1;9;0;ID;0;0;0;0;0;2;0;ID;2.19703295;0.378851573;1.818181377
2;18;2;0.095030117;0.037721893;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;42;0.42;36;0.498593429;M;1;51;0;ID;0;0;0;0;0;0;0;ID;0.732684654;0.732684654;0
2;19;3;0.758936773;0.43877551;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;78;0.78;39;0.708630529;M;3;10;0;ID;0;0;0;1;0;0;0;ID;3.493337067;0.993336567;2.500000499
2;20;2;0.376770161;0.21875;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;40;0.4;38;0.396355989;F;1;7;0;ID;0;0;0;0;0;0;0;ID;0.362002379;0.362002379;0
2;21;0;0;1;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;57;0.57;39;0.517845386;M;0;0;0;ID;0;0;0;0;0;0;0;ID;0;0;0
3;1;0;0;1;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;143;1.43;45;0.805319604;M;0;0;0;SM;0;0;0;0;0;0;0;SM;0;0;0
3;2;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;159;1.59;47;0.774312273;M;0;6;0;SM;0;0;0;0;0;0;0;SM;0.050547583;0.050547583;0
3;3;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;150;1.5;47;0.730483277;F;0;1;0;SM;0;0;0;0;0;0;0;SM;0.008424597;0.008424597;0
3;4;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;164;1.64;47;0.798661716;F;0;5;0;SM;0;0;0;0;0;0;0;SM;0.042122986;0.042122986;0
3;5;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;136;1.36;44;0.825634228;M;0;4;0;SM;0;0;0;0;0;0;0;SM;0.033698389;0.033698389;0
3;11;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;185;1.85;50;0.732632732;M;0;4;0;ID;0;0;0;0;0;0;0;PH;0.033698389;0.033698389;0
3;12;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;136;1.36;44;0.825634228;F;0;1;0;ID;0;0;0;0;0;0;0;PH;0.008424597;0.008424597;0
3;13;0;0;1;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;194;1.94;50;0.768274325;F;0;0;0;ID;0;0;0;0;0;0;0;ID;0;0;0
3;14;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;233;2.33;48;1.05759294;F;0;120;0;PH;0;0;0;0;0;0;0;PH;1.010951661;1.010951661;0
3;15;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;109;1.09;46;0.570373173;F;0;1;0;ID;0;0;0;0;0;0;0;ID;0.008424597;0.008424597;0
3;16;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;105;1.05;50;0.415818578;F;0;3;0;ID;0;0;0;0;0;0;0;ID;0.025273792;0.025273792;0
3;17;1;0;0;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;124;1.24;46;0.648864894;F;0;3;0;ID;0;0;0;0;0;0;0;ID;0.025273792;0.025273792;0
3;18;2;0.693147181;0.5;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;173;1.73;53;0.56388513;M;0;1;0;ID;1;0;0;0;0;0;0;ID;1.436995815;0.008424597;1.428571218
3;19;0;0;1;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;92;0.92;42;0.652461074;M;0;0;0;ID;0;0;0;0;0;0;0;ID;0;0;0
3;20;2;0.562335145;0.375;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;152;1.52;49;0.643991132;F;1;3;0;ID;0;0;0;0;0;0;0;ID;0.32830399;0.32830399;0
4;1;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;45;0.45;31;0.880514334;M;0;47;0;SM;0;0;0;0;0;0;0;SM;0.395956067;0.395956067;0
4;2;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;59;0.59;36;0.700405055;M;0;22;0;SM;0;0;0;0;0;0;0;SM;0.185341138;0.185341138;0
4;3;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;36;0.36;29;0.88027958;M;0;25;0;SM;0;0;0;0;0;0;0;SM;0.210614929;0.210614929;0
4;4;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;40;0.4;31;0.782679408;M;0;17;0;SM;0;0;0;0;0;0;0;SM;0.143218152;0.143218152;0
4;5;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;18;0.18;24;0.828422308;M;0;151;0;SM;0;0;0;0;0;0;0;SM;1.272114174;1.272114174;0
4;6;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;40;0.4;30;0.873321687;F;0;31;0;SM;0;0;0;0;0;0;0;SM;0.261162512;0.261162512;0
4;7;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;52;0.52;33;0.825632466;M;0;52;0;SM;0;0;0;0;0;0;0;SM;0.438079053;0.438079053;0
4;8;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;25;0.25;26;0.88053634;F;0;44;0;SM;0;0;0;0;0;0;0;SM;0.370682276;0.370682276;0
4;9;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;30;0.3;29;0.733566316;M;0;81;0;SM;0;0;0;0;0;0;0;SM;0.682392371;0.682392371;0
4;10;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;30;0.3;29;0.733566316;M;0;92;0;SM;0;0;0;0;0;0;0;SM;0.77506294;0.77506294;0
4;11;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;57;0.57;34;0.819087734;M;0;106;0;ID;0;0;0;0;0;0;0;ID;0.893007301;0.893007301;0
4;12;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;47;0.47;31;0.919648305;F;0;77;0;ID;0;0;0;0;0;0;0;ID;0.648693983;0.648693983;0
4;13;0;0;1;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;49;0.49;33;0.777999823;F;0;0;0;ID;0;0;0;0;0;0;0;PH;0;0;0
4;15;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;190;1.9;53;0.619295808;M;0;10;0;SM;0;0;0;0;0;0;0;SM;0;0.084245972;0
4;15;0;0;1;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;122;1.22;43;0.799788267;F;0;0;0;ID;0;0;0;0;0;0;0;ID;0.084245972;0;0
4;16;2;0.450561209;0.277777778;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;155;1.55;56;0.420304306;F;1;5;0;SM;0;0;0;0;0;0;0;SM;0.345153184;0.345153184;0
4;17;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;46;0.46;37;0.498297719;M;0;58;0;SM;0;0;0;0;0;0;0;SM;0.488626636;0.488626636;0
4;18;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;29;0.29;31;0.567442571;F;0;48;0;SM;0;0;0;0;0;0;0;SM;0.404380664;0.404380664;0
4;19;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;17;0.17;28;0.4674097;M;0;104;0;SM;0;0;0;0;0;0;0;SM;0.876158106;0.876158106;0
4;20;1;0;0;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;20;0.2;28;0.549893765;F;0;15;0;SM;0;0;0;0;0;0;0;SM;0.126368958;0.126368958;0
5;1;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;100;1;41;0.768672545;F;0;39;0;SM;0;0;0;0;0;0;0;SM;0.32855929;0.32855929;0
5;2;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;25;0.25;26;0.88053634;M;0;17;0;SM;0;0;0;0;0;0;0;SM;0.143218152;0.143218152;0
5;3;3;0.576382067;0.309917355;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;35;0.35;30;0.764156476;M;3;18;0;SM;1;0;0;0;0;0;0;SM;2.489304562;1.060733345;1.428571218
5;5;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;54;0.54;34;0.775977853;M;0;14;0;SM;0;0;0;0;0;0;0;SM;0.11794436;0.11794436;0
5;6;2;0.173205207;0.079861111;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;40;0.4;32;0.703889737;M;1;23;0;SM;0;0;0;0;0;0;0;SM;0.496795934;0.496795934;0
5;10;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;28;0.28;28;0.76985127;M;0;12;0;SM;0;0;0;0;0;0;0;SM;0.101095166;0.101095166;0
5;11;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;192;1.92;51;0.711663636;M;0;7;0;ID;0;0;0;0;0;0;0;PH;0.05897218;0.05897218;0
5;12;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;30;0.3;38;0.297266992;M;0;51;0;ID;0;0;0;0;0;0;0;ID;0.429654456;0.429654456;0
5;13;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;27;0.27;27;0.838292657;M;0;35;0;ID;0;0;0;0;0;0;0;ID;0.294860901;0.294860901;0
5;15;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;20;0.2;29;0.489044211;F;0;15;0;ID;0;0;0;0;0;0;0;ID;0.126368958;0.126368958;0
5;16;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;273;2.73;55;0.786224189;F;0;9;0;ID;0;0;0;0;0;0;0;ID;0.075821375;0.075821375;0
5;17;2;0.693147181;0.5;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;4;0.04;19;0.401885265;M;0;1;0;ID;0;1;0;0;0;0;0;ID;3.341758097;0.008424597;3.3333335
5;19;1;0;0;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;15;0.15;23;0.795867023;F;0;46;0;ID;0;0;0;0;0;0;0;ID;0.38753147;0.38753147;0
6;1;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;60;0.6;36;0.712276327;M;0;4;0;SM;0;0;0;0;0;0;0;SM;0.033698389;0.033698389;0
