site,vmm,year,T_av,pH_av,O2_av,O2_sat_av,con_av,Cl_av,BOC_av,COD_av,KjN_av,NH4_av,NO3_av,NO2_av,Nt_av,Pt_av,oPO4_av,SO4_av,SM_av,T_max,pH_max,O2_max,O2_sat_max,con_max,Cl_max,BOC_max,COD_max,KjN_max,NH4_max,NO3_max,NO2_max,Nt_max,Pt_max,oPO4_max,SO4_max,SM_max,T_min,pH_min,O2_min,O2_sat_min,con_min,Cl_min,BOC_min,COD_min,KjN_min,NH4_min,NO3_min,NO2_min,Nt_min,Pt_min,oPO4_min,SO4_min,SM_min,T,pH,O2,O2_sat,con,Cl,BOC,COD,KjN,NH4,NO3,NO2,Nt,Pt,oPO4,SO4,SM
SITE_13,483800,2017,14.486,7.829,9.214,90.429,621.864,88.833,2.433,11.333,1.333,0.668,5.600,0.178,6.533,0.288,0.200,NA,5.433,19.700,7.900,10.600,102.000,808.000,200.000,3.500,17.000,2.000,1.000,6.500,0.230,7.600,0.500,0.350,NA,8.500,6.800,7.700,7.600,76.000,1.050,51.000,1.500,6.000,1.000,0.370,4.000,0.110,4.700,0.190,0.110,NA,1.500,6.800,7.800,10.500,85.000,1.050,200.000,3.400,14.000,2.000,1.000,6.000,0.230,7.500,0.190,0.130,NA,1.500
SITE_14,407000,2016,11.983,7.567,8.583,77.667,472.333,47.333,NA,37.167,2.633,2.367,4.400,0.187,7.000,0.663,0.238,50.833,119.667,18.000,7.700,11.200,90.000,593.000,67.000,NA,100.000,5.100,5.200,6.300,0.330,10.000,1.600,0.470,63.000,340.000,6.500,7.500,6.600,66.000,307.000,30.000,NA,18.000,2.000,0.800,3.200,0.061,4.600,0.360,0.110,36.000,20.000,6.600,7.500,9.200,73.000,563.000,57.000,NA,18.000,2.300,3.000,4.400,0.140,6.800,0.360,0.210,63.000,21.000
SITE_15,401000,2016,11.577,7.877,9.500,85.308,591.462,47.750,NA,24.667,1.167,0.260,2.108,0.064,2.608,0.198,0.103,68.167,17.292,17.300,8.100,12.100,90.000,664.000,60.000,NA,68.000,2.000,0.960,3.000,0.200,3.600,0.360,0.180,130.000,52.000,1.900,7.500,7.300,74.000,426.000,29.000,NA,10.000,1.000,0.100,1.500,0.031,1.800,0.100,0.037,42.000,4.700,11.300,8.000,9.800,89.000,577.000,43.000,NA,16.000,1.000,0.100,1.700,0.036,2.000,0.120,0.140,63.000,7.000
SITE_16,461100,2016,12.443,7.443,9.429,87.857,462.571,32.333,NA,37.167,1.167,0.210,1.098,0.019,1.730,0.132,0.044,107.167,15.150,17.400,7.600,12.000,94.000,596.000,35.000,NA,97.000,2.000,0.240,2.200,0.024,3.000,0.330,0.150,160.000,36.000,3.000,7.100,8.300,85.000,290.000,22.000,NA,16.000,1.000,0.190,0.590,0.010,0.880,0.050,0.010,52.000,6.900,10.100,7.500,9.600,85.000,425.000,34.000,NA,28.000,1.000,0.220,1.200,0.020,1.700,0.110,0.031,90.000,6.900
SITE_17,417100,2017,11.425,7.400,8.083,73.250,470.333,51.333,2.767,20.000,2.875,2.589,7.633,0.252,10.617,0.358,0.202,49.917,17.725,17.400,7.600,10.600,91.000,545.000,62.000,3.000,46.000,4.600,5.400,10.100,0.530,13.000,0.750,0.460,77.000,120.000,5.800,7.100,5.200,55.000,330.000,31.000,2.300,12.000,2.000,0.380,5.200,0.048,7.200,0.160,0.047,37.000,3.900,5.800,7.500,10.400,84.000,519.000,60.000,NA,18.000,2.300,1.700,6.400,0.097,8.800,0.200,0.130,73.000,8.100
SITE_18,409100,2018,16.214,7.471,6.129,61.000,422.429,43.167,2.700,35.833,NA,2.417,2.132,0.113,5.450,0.428,0.029,NA,26.017,22.500,7.600,10.400,81.000,561.000,56.000,4.300,120.000,NA,8.100,6.900,0.210,18.000,0.920,0.054,NA,36.000,4.800,7.200,2.100,25.000,368.000,39.000,1.400,12.000,NA,1.000,0.890,0.029,2.500,0.180,0.017,NA,5.100,14.000,7.500,6.200,60.000,434.000,42.000,3.400,20.000,NA,1.700,1.300,0.077,3.600,0.370,0.023,NA,34.000
SITE_19,444000,2010,9.317,8.225,11.010,94.900,812.833,76.167,1.750,7.500,0.750,0.103,4.717,0.060,NA,0.263,0.127,NA,12.400,16.200,8.300,12.700,101.000,941.000,160.000,3.000,18.000,0.750,0.130,6.100,0.095,NA,0.540,0.240,NA,35.000,3.300,8.000,8.700,89.000,629.000,41.000,1.500,3.000,0.750,0.050,3.300,0.031,NA,0.131,0.033,NA,7.000,8.800,8.300,10.900,94.000,811.000,62.000,1.500,3.000,0.750,0.100,4.700,0.031,NA,0.131,0.100,NA,7.000
SITE_20,449400,2016,12.957,7.929,8.900,85.571,851.286,51.000,2.050,15.833,1.167,0.170,4.117,0.064,4.583,0.193,0.062,NA,31.667,15.900,8.100,9.900,91.000,875.000,58.000,6.200,24.000,2.000,0.240,5.900,0.110,5.900,0.270,0.095,NA,51.000,9.000,7.800,8.100,82.000,810.000,46.000,0.900,9.000,1.000,0.100,3.200,0.037,3.700,0.130,0.021,NA,10.000,10.000,7.900,9.300,82.000,875.000,58.000,0.900,15.000,1.000,0.100,3.500,0.037,3.700,0.130,0.067,NA,10.000
SITE_21,479000,2016,15.000,7.833,8.467,85.333,673.167,62.833,NA,19.500,1.000,0.635,4.233,0.161,5.067,0.445,0.297,61.000,26.950,19.600,8.000,9.900,99.000,812.000,87.000,NA,35.000,1.000,1.300,5.300,0.250,5.800,0.740,0.360,80.000,120.000,9.100,7.700,6.900,74.000,373.000,35.000,NA,13.000,1.000,0.410,2.500,0.046,3.500,0.190,0.200,35.000,3.900,10.300,7.800,8.300,74.000,812.000,87.000,NA,23.000,1.000,0.680,5.200,0.160,5.800,0.460,0.360,80.000,14.000
SITE_22,419600,2016,10.475,6.900,8.367,73.833,255.833,32.182,NA,24.727,1.364,0.527,1.348,0.062,2.164,0.272,0.084,34.455,27.045,17.300,7.100,9.900,82.000,358.000,49.000,NA,58.000,2.000,0.980,2.600,0.120,3.900,0.540,0.120,48.000,69.000,4.200,6.700,6.500,61.000,169.000,18.000,NA,3.000,1.000,0.160,0.560,0.020,1.500,0.100,0.060,26.000,6.500,11.000,6.900,6.800,61.000,266.000,34.000,NA,20.000,2.000,0.980,0.920,0.054,2.100,0.100,0.068,33.000,11.000
SITE_23,422000,2016,10.050,6.917,9.117,80.000,138.667,12.833,NA,37.167,1.167,0.290,0.710,0.010,1.372,0.272,0.121,14.833,36.167,15.100,7.200,10.100,83.000,166.000,16.000,NA,81.000,2.000,0.400,1.900,0.010,3.200,0.410,0.160,19.000,82.000,4.600,6.700,8.000,76.000,116.000,11.000,NA,15.000,1.000,0.160,0.200,0.010,0.610,0.100,0.073,10.000,13.000,4.600,6.700,10.100,76.000,144.000,16.000,NA,17.000,1.000,0.400,0.200,0.010,0.780,0.100,0.110,14.000,18.000
SITE_24,422900,2016,11.773,7.691,7.436,66.091,593.091,52.545,NA,34.727,1.545,0.806,3.745,0.168,4.891,0.422,0.219,69.182,23.445,22.900,8.000,10.600,96.000,740.000,72.000,NA,66.000,2.000,1.600,5.600,0.420,6.800,0.820,0.580,89.000,60.000,2.900,7.100,1.900,22.000,365.000,25.000,NA,15.000,1.000,0.230,1.100,0.034,2.600,0.240,0.120,43.000,9.900,4.000,7.700,8.700,64.000,720.000,61.000,NA,65.000,1.000,1.600,4.000,0.110,5.100,0.340,0.260,89.000,27.000
SITE_26,448000,2016,12.167,7.950,8.792,80.333,897.417,67.750,NA,16.417,1.083,0.409,4.467,0.161,5.242,0.287,0.203,92.333,16.475,18.400,8.100,11.900,95.000,958.000,83.000,NA,25.000,2.000,0.760,5.600,0.320,6.100,0.390,0.310,150.000,38.000,3.200,7.700,5.300,50.000,821.000,56.000,NA,8.000,1.000,0.160,3.700,0.083,4.000,0.170,0.130,62.000,4.100,9.900,8.000,9.300,83.000,890.000,67.000,NA,15.000,1.000,0.420,4.100,0.083,4.700,0.290,0.210,83.000,17.000
