fish;site;Updist3;updist;netcen;updist2;nr_species;Temp;pH;Conductivity;Nitrogen;Phosphorus;Oxygen;PI;PI_ecto;PI_endo;confactor2;weight;length;length in cm;weight in g;confactor;Sex ;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
13;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0;0;0;-37.49992995;63;42;4.2;0.63;15;M;0;0;0;0;0;0;0;0;0;0
14;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.311454796;0.311454796;0;-26.61970868;26;34;3.4;0.26;7.65;F;1;1;0;0;0;0;0;0;0;0
15;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.033698389;0.033698389;0;-26.00426611;17;32;3.2;0.17;5.31;F;0;4;0;0;0;0;0;0;0;0
16;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0;0;0;-34.98102111;34;37;3.7;0.34;9.19;M;0;0;0;0;0;0;0;0;0;0
17;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;2.19703295;0.378851573;1.818181377;-12.49992995;88;42;4.2;0.88;20.95;M;1;9;0;0;0;0;0;0;2;0
18;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.732684654;0.732684654;0;-21.28719732;42;36;3.6;0.42;11.67;M;1;51;0;0;0;0;0;0;0;0
19;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;3.493337067;0.993336567;2.500000499;-3.019952042;78;39;3.9;0.78;20;M;3;10;0;0;0;0;1;0;0;0
20;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.362002379;0.362002379;0;-34.89653106;40;38;3.8;0.4;10.53;F;1;7;0;0;0;0;0;0;0;0
21;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0;0;0;-24.01995204;57;39;3.9;0.57;14.62;M;0;0;0;0;0;0;0;0;0;0
1;3;15827;32574.44868;38651.53331;1783;5;20.1;7.5;475;3.6;0.29;6.2;0;0;0;21.64479724;143;45;4.5;1.43;31.78;M;0;0;0;0;0;0;0;0;0;0
