date;site;fish;confactor;weight;length;Sex ;# dorsal spines;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
18/03/2019;28;13;18.16;112;41;M;3;0;349;0;0;0;0;0;0;0;0
18/03/2019;28;14;-2.32;105;43;F;3;0;297;0;0;0;0;0;0;0;0
18/03/2019;28;15;-5.9;69;38;M;3;0;85;0;0;0;0;0;0;0;0
17/01/2020;28;16;-32.27;82;44;F;3;0;5;0;0;0;0;0;0;0;0
17/01/2020;28;17;-0.29;63;36;F;3;0;8;0;0;0;0;0;0;0;0
17/01/2020;28;18;-7.83;50;35;M;3;0;10;0;0;0;0;0;0;0;0
17/01/2020;28;19;-29.27;85;44;M;3;0;2;0;1;0;0;0;0;1;0
20/01/2020;28;20;-51.32;56;43;M;4;0;1;0;0;0;0;0;0;0;0
28/11/2018;29;2;8.73;123;44;F;3;0;2;0;0;0;0;0;0;0;0
12/04/2018;29;4;14.38;67;34;F;3;1;0;0;0;0;0;0;0;0;0
28/11/2018;29;5;12.16;106;41;M;3;2;4;0;0;0;0;0;0;0;0
28/11/2018;29;6;7.33;55;33;M;3;1;0;0;0;0;0;0;0;0;0
28/11/2018;29;7;31.79;175;48;F;3;0;5;0;0;0;0;0;0;0;0
31/01/2018;29;8;6.66;94;40;F;3;0;12;0;0;0;0;0;1;0;0
10/04/2018;29;10;11;54;32;F;3;0;4;0;0;0;0;0;0;0;0
6/11/2018;30;1;13.5;114;42;M;3;0;9;0;0;0;0;0;0;1;0
14/11/2018;30;2;1.66;89;40;M;4;1;66;0;1;0;0;0;0;2;0
14/11/2018;30;3;2.16;96;41;F;3;1;175;0;0;0;0;0;0;6;0
14/11/2018;30;5;6.16;100;41;M;4;0;12;0;0;0;0;0;0;0;0
15/06/2017;30;6;-1.32;106;43;F;3;1;166;0;0;0;0;0;0;0;0
15/06/2017;30;10;33.68;141;43;M;3;2;20;0;0;0;0;0;0;0;0
15/06/2017;31;1;-0.84;93;41;F;3;0;120;0;0;0;0;0;0;0;0
5/11/2018;31;2;15.68;123;43;M;3;0;1;0;0;0;0;0;0;0;0
30/01/2018;31;3;6.5;107;42;M;3;0;4;1;0;0;0;0;0;0;0
22/10/2018;31;4;8.73;123;44;M;3;0;2;1;0;0;0;0;0;0;0
2/10/2017;31;5;2.16;96;41;F;3;0;187;0;0;0;0;0;0;1;0
30/10/2018;31;6;27.79;171;48;F;3;0;1;0;0;0;1;0;0;0;0
15/06/2017;31;8;29.16;123;41;M;3;0;19;0;0;0;0;0;0;0;0
22/11/2018;31;9;23.71;87;36;M;4;0;17;1;0;0;0;0;0;0;0
2/10/2017;32;1;21.34;172;49;M;3;0;50;0;0;0;0;0;0;0;0
11/10/2017;32;2;4.38;57;34;F;3;0;32;0;0;0;0;0;0;0;0
20/11/2018;32;4;5.33;53;33;F;3;1;5;0;0;0;0;0;0;0;0
31/10/2018;32;6;2.66;90;40;F;3;0;3;0;0;0;0;0;0;0;0
20/11/2018;32;8;7.37;46;31;F;3;0;13;0;2;0;0;0;0;0;0
20/11/2018;32;9;6.21;37;29;F;3;2;6;0;0;0;0;0;0;0;0
15/06/2017;32;10;9.63;37;28;F;3;4;109;0;0;0;0;0;0;0;0
16/02/2017;32;11;-63.84;72;47;F;3;0;15;0;0;0;0;0;0;0;0
21/01/2020;32;12;-29.21;114;48;F;3;1;34;0;0;0;0;0;0;0;0
21/01/2020;32;13;-30.5;70;42;F;3;1;18;0;1;0;0;0;0;0;0
22/01/2020;32;14;-36.21;107;48;F;3;1;17;0;0;0;0;0;0;0;0
22/01/2020;32;15;-34.02;47;39;F;3;0;26;0;0;0;0;0;0;0;0
22/01/2020;32;16;-29.98;39;37;F;3;2;65;0;0;0;0;0;0;0;0
22/01/2020;32;17;-28.02;53;39;M;3;0;11;0;0;0;0;0;0;0;0
22/01/2020;32;18;-11.37;16;28;M;3;2;16;0;0;0;0;0;0;0;0
22/01/2020;32;19;-12.16;146;50;F;3;3;19;0;0;0;0;0;0;0;0
25/10/2018;33;1;21.64;143;45;F;3;0;7;0;0;0;0;0;0;0;0
27/11/2018;33;2;2.17;60;35;M;3;0;14;0;0;0;0;0;0;0;0
6/12/2018;33;5;12.68;30;28;M;3;0;2;0;0;0;0;0;0;1;0
8/11/2018;33;8;15.66;103;40;F;3;0;1;0;0;0;0;0;0;0;0
10/02/2017;33;13;70.17;128;35;F;3;0;7;0;0;0;0;0;0;0;0
20/01/2020;33;17;-39.5;61;42;F;3;0;2;0;0;0;0;0;0;0;0
23/01/2020;33;20;-50.5;14;28;M;3;0;5;0;0;0;0;0;0;0;0
20/01/2020;33;20;-13.37;50;42;M;3;0;2;0;0;0;0;0;0;0;0
6/11/2018;34;1;8.73;123;44;F;3;0;2;0;0;0;0;0;0;0;0
26/11/2018;34;2;-1.27;113;44;M;3;0;0;0;0;0;0;0;0;3;0
26/11/2018;34;3;-3.32;104;43;M;3;0;1;0;0;0;0;0;0;0;0
5/11/2018;34;4;4.5;105;42;F;3;0;21;1;0;0;0;0;0;0;0
26/11/2018;34;5;-0.5;100;42;F;3;0;1;0;0;0;0;0;0;0;0
29/11/2018;34;6;-3;40;32;F;3;1;35;0;0;0;0;0;0;0;0
22/10/2018;34;7;-1.02;80;39;F;3;0;3;1;0;0;0;0;0;0;0
26/11/2018;34;8;7.64;129;45;F;3;0;1;0;0;0;0;0;0;0;0
29/11/2018;34;9;2.38;55;34;F;3;15;91;0;0;0;0;0;0;0;0
26/11/2018;34;10;-2.83;55;35;F;3;1;12;0;0;0;0;0;0;0;0
18/01/2017;34;11;4.17;62;35;M;3;3;12;0;0;0;0;0;0;0;0
18/01/2017;34;12;-7.34;80;40;F;3;0;98;0;0;0;0;0;0;0;0
10/02/2017;34;14;6.16;100;41;F;3;0;4;0;0;0;0;0;0;0;0
7/03/2019;34;15;-22.62;30;34;F;3;0;29;0;0;0;0;0;0;0;0
7/03/2019;34;16;-34.29;29;36;F;3;1;1;0;0;0;0;0;0;0;0
7/03/2019;34;17;-51.84;42;41;F;3;0;5;0;0;0;0;0;0;0;0
7/03/2019;34;18;-35.84;58;41;F;3;1;10;0;1;0;0;0;0;0;0
7/03/2019;34;19;-26.62;26;34;M;3;0;39;0;0;1;0;0;0;0;0
7/03/2019;34;20;-23.62;29;34;F;3;2;72;0;0;0;0;0;0;0;0
15/06/2018;35;2;3.02;72;37;F;3;1;45;0;0;0;0;0;0;0;0
15/06/2018;35;3;3.16;97;41;M;3;0;15;0;0;0;0;0;0;0;0
15/06/2018;35;4;15.68;123;43;F;3;0;37;0;0;0;0;0;0;0;0
15/06/2017;35;5;15.73;130;44;M;3;3;71;0;0;0;0;0;0;0;0
15/06/2018;35;6;7.38;60;34;M;3;6;1187;0;0;0;0;0;0;0;0
11/10/2017;35;8;8.63;36;28;F;3;0;8;0;0;0;0;0;0;0;0
15/06/2018;35;9;2.1;77;38;F;3;0;71;0;0;0;0;0;0;0;0
22/11/2018;36;1;1.37;40;31;M;3;1;36;0;0;0;0;0;0;0;0
15/11/2018;36;2;2.68;110;43;M;3;0;15;0;1;0;0;0;0;0;0
22/11/2018;36;3;10.38;63;34;M;3;3;309;0;1;0;0;0;0;0;0
15/11/2018;36;5;2.98;84;39;F;3;1;90;0;0;1;0;0;0;0;0
22/11/2018;36;6;-0.63;38;31;M;3;1;147;0;0;0;0;0;0;0;0
24/01/2018;36;7;-3;40;32;M;3;0;253;1;0;0;0;0;0;0;0
30/01/2018;36;8;-5.62;47;34;M;3;0;249;1;0;0;0;0;0;0;0
10/04/2018;36;9;-1;42;32;F;3;0;351;0;0;0;0;0;0;0;0
22/11/2018;36;10;-0.79;30;29;M;3;1;110;0;0;0;0;0;0;0;0
13/01/2017;36;12;5.17;63;35;M;3;6;0;0;0;0;0;0;0;0;0
18/01/2017;36;13;14;57;32;M;3;0;81;0;0;0;0;0;0;0;0
5/03/2019;36;15;-0.29;24;27;F;3;4;78;0;0;0;0;0;0;0;0
5/03/2019;36;16;-25;18;32;M;3;4;144;0;0;0;0;0;0;0;0
5/03/2019;36;17;-12.37;15;28;M;3;9;136;0;0;0;0;0;0;0;0
7/03/2019;36;19;-13.55;21;30;M;3;2;460;0;0;0;0;0;0;0;0
7/03/2019;36;20;-9.67;38;33;M;3;2;41;0;0;0;2;0;0;0;0
23/01/2020;36;21;-20.55;14;30;F;3;0;25;0;0;0;0;0;0;0;0
10/12/2018;38;1;-2.67;45;33;F;3;0;15;2;0;0;0;0;0;2;0
10/12/2018;38;2;-9.9;65;38;F;3;0;70;0;0;0;0;0;0;3;0
27/02/2017;38;3;3.37;42;31;F;3;2;51;2;0;0;0;0;0;0;0
6/12/2018;38;4;1.02;70;37;F;3;0;7;0;0;0;0;0;0;2;0
10/12/2018;38;5;8.37;47;31;F;3;0;48;2;0;0;0;0;0;1;0
1/03/2017;38;6;-5.83;52;35;F;3;0;48;0;0;0;0;0;0;0;0
10/12/2018;38;7;-1.29;62;36;F;3;0;16;1;0;0;0;0;0;4;0
27/02/2017;38;8;-6.62;46;34;F;4;0;276;0;0;0;0;0;0;0;0
27/02/2017;38;9;-4.83;53;35;F;3;2;72;1;0;0;0;0;0;0;0
27/02/2017;38;10;-1.9;73;38;M;3;0;125;0;0;0;0;0;0;1;0
12/03/2019;38;12;-16;27;32;F;3;3;457;0;0;0;0;0;0;2;0
12/03/2019;38;13;-11.83;46;35;F;3;2;9;0;0;0;0;0;0;6;0
21/03/2019;38;16;-20.83;37;35;M;3;0;2;0;0;0;0;0;0;2;0
21/03/2019;38;17;-6.83;51;35;M;3;0;101;0;0;0;0;0;0;1;0
21/03/2019;38;18;-15.02;66;39;F;3;0;34;0;0;0;0;0;0;1;0
21/03/2019;38;19;-1.55;33;30;M;3;0;50;0;0;0;0;0;0;1;0
12/11/2018;39;1;2.63;30;28;M;3;0;4;0;0;0;0;0;0;0;0
18/10/2018;39;2;-1.83;56;35;F;3;0;8;0;0;0;0;0;0;0;0
20/11/2018;39;3;4;47;32;M;3;2;72;0;0;0;0;0;0;0;0
20/11/2018;39;4;4.37;43;31;F;3;0;3;0;0;0;0;0;0;0;0
20/11/2018;39;5;8.37;47;31;F;3;1;27;2;0;0;0;0;0;0;0
24/02/2017;39;6;9.17;67;35;M;3;0;112;0;0;0;0;0;0;0;0
24/02/2017;39;7;3.98;85;39;M;3;3;40;0;0;0;0;0;0;0;0
21/02/2017;39;8;11;54;32;M;3;2;54;0;0;0;0;0;0;0;0
20/02/2017;39;9;11.38;64;34;F;3;2;45;0;0;0;0;0;0;0;0
21/02/2017;39;10;12.45;47;30;F;3;1;22;0;0;0;0;0;0;0;0
20/01/2020;39;11;-21.29;42;36;F;3;0;23;0;0;0;0;0;0;0;0
20/01/2020;39;12;1.17;59;35;M;3;2;52;1;0;0;0;0;0;0;0
20/01/2020;39;13;-13.63;25;31;M;3;0;13;0;0;0;0;0;0;0;0
20/01/2020;39;14;-33.9;41;38;F;3;2;1;0;0;0;0;0;0;0;0
20/01/2020;39;15;1.63;29;28;F;3;0;6;0;0;0;0;0;0;0;0
20/01/2020;39;16;-9.29;54;36;F;3;5;35;0;0;0;0;0;0;0;0
20/01/2020;39;17;-4.63;34;31;F;3;2;42;0;0;0;0;0;0;0;0
20/01/2020;39;18;7.17;65;35;F;4;5;15;0;0;0;0;0;0;0;0
20/01/2020;39;19;-9.62;43;34;M;3;1;17;1;0;0;0;0;0;0;0
23/01/2020;39;20;-4.62;48;34;M;3;1;13;0;0;0;0;0;0;0;0
8/03/2017;40;1;-3.02;78;39;F;3;0;140;0;0;0;0;0;0;0;0
30/10/2018;40;2;6.1;81;38;M;3;0;68;0;0;0;0;0;0;0;0
14/11/2018;40;4;-0.34;87;40;F;3;0;39;0;0;0;0;0;0;0;0
8/03/2017;40;5;19.64;141;45;M;3;3;50;0;1;0;0;0;0;0;0
27/02/2017;40;6;8.98;90;39;M;3;0;530;0;0;0;0;0;0;0;0
14/11/2018;40;7;14.02;83;37;M;3;0;174;0;1;0;0;0;0;0;0
27/02/2017;40;8;4.38;57;34;F;3;0;203;0;0;0;0;0;0;0;0
8/11/2018;40;9;2.68;110;43;F;3;0;20;0;0;0;0;0;0;0;0
27/02/2017;40;10;8.37;47;31;M;3;0;103;0;0;0;0;0;0;0;0
17/01/2020;40;11;-16.5;84;42;M;3;1;67;0;1;0;0;0;0;0;0
17/01/2020;40;12;-9.55;25;30;M;3;0;65;0;0;0;0;0;0;0;0
17/01/2020;40;13;-10.29;53;36;F;3;0;116;0;0;0;0;0;0;0;0
20/01/2020;40;14;-18.98;50;37;M;3;0;42;0;0;0;0;0;0;0;0
20/01/2020;40;15;-23.83;34;35;M;3;0;45;0;1;0;0;0;0;0;0
20/01/2020;40;16;-14;29;32;F;3;0;34;0;0;0;0;0;0;0;0
20/01/2020;40;17;-19.98;49;37;F;3;0;27;0;0;0;0;0;0;0;0
21/01/2020;40;18;-4;39;32;F;3;0;98;0;1;0;0;0;0;0;0
21/01/2020;40;19;-33.29;30;36;M;3;1;9;0;0;0;0;0;0;0;0
21/01/2020;40;20;-24.9;50;38;M;3;0;36;0;0;0;0;0;0;0;0
23/01/2020;40;21;-22.62;30;34;F;3;0;210;0;0;0;0;0;0;0;0
27/02/2017;41;1;8.37;47;31;M;3;0;13;0;0;0;0;0;0;1;0
13/11/2018;41;2;5.5;106;42;M;3;0;1;0;0;0;0;0;0;0;0
8/03/2017;41;4;15.16;109;41;M;3;3;2;0;3;2;0;0;0;0;0
8/03/2017;41;5;12.02;81;37;F;3;1;2;0;1;0;0;0;0;0;1
8/03/2017;41;6;-3.37;24;28;F;3;0;32;0;1;0;0;0;0;0;0
19/11/2018;41;7;2.38;55;34;M;3;0;3;0;7;0;0;0;0;1;1
19/11/2018;41;8;-4.34;83;40;F;3;0;3;0;0;0;0;0;0;0;1
8/03/2017;41;9;11.45;140;46;F;3;0;3;0;2;1;0;0;0;0;0
17/01/2017;41;11;26.38;79;34;M;3;4;0;0;0;0;0;0;0;0;0
9/02/2017;41;12;14;57;32;M;3;2;12;0;0;0;0;0;0;0;0
10/02/2017;41;13;17.71;81;36;F;3;7;32;0;2;0;0;0;0;0;0
10/02/2017;41;14;19.71;83;36;F;4;2;4;0;2;0;0;0;0;0;2
26/02/2019;41;16;5.16;99;41;F;3;1;1;0;0;0;0;0;0;2;0
10/02/2017;41;16;-11.83;82;37;M;3;0;12;0;3;0;0;1;0;0;0
26/02/2019;41;17;13;46;35;F;3;5;1;0;0;0;0;0;0;0;0
26/02/2019;41;18;-2.67;45;33;M;3;5;3;0;0;0;0;0;0;0;0
1/03/2019;41;20;-4.79;26;29;F;3;3;3;0;0;0;0;0;0;0;0
15/11/2018;42;1;7.45;42;30;M;3;0;2;1;0;0;0;0;0;2;0
31/10/2018;42;2;0.16;94;41;M;3;0;5;0;0;0;0;0;0;0;0
27/02/2017;42;3;3.02;72;37;M;3;2;10;0;0;0;0;0;0;0;0
12/11/2018;42;4;3.37;42;31;F;3;0;5;0;0;0;0;0;0;0;0
25/10/2018;42;5;7.5;108;42;M;3;2;8;0;0;0;0;0;0;0;0
27/02/2017;42;6;8.66;96;40;F;3;0;142;0;0;0;0;0;0;0;0
27/02/2017;42;7;14.17;72;35;M;3;3;233;0;0;0;0;0;0;0;0
27/02/2017;42;8;15.73;130;44;M;4;10;4;0;0;0;0;0;0;0;0
27/02/2017;42;9;12;55;32;F;3;0;109;0;0;0;0;0;0;0;0
5/11/2018;42;10;27.16;121;41;F;3;0;1;0;0;0;0;0;0;0;0
13/02/2017;42;11;1.45;36;30;F;3;0;15;0;0;0;0;0;0;0;0
10/02/2017;42;13;-4.67;43;33;M;3;23;27;0;0;0;0;0;0;0;0
10/02/2017;42;14;2.1;77;38;M;3;1;18;0;1;0;0;0;0;0;0
1/03/2019;42;15;-5.29;19;27;M;3;2;61;0;0;0;0;0;0;0;0
1/03/2019;42;16;-6.98;62;37;M;3;0;8;0;0;0;0;0;0;0;0
1/03/2019;42;17;-9.83;48;35;F;3;1;18;0;0;0;0;0;0;0;0
1/03/2019;42;18;-12.63;26;31;F;3;5;13;0;0;0;0;0;0;0;0
1/03/2019;42;19;3.37;42;31;F;3;0;30;0;0;0;0;0;0;0;0
4/03/2019;42;20;-12.67;35;33;M;3;0;75;0;0;0;0;0;0;0;0
