site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
2;16;0;0;1;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;34;37;9.19;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
2;17;3;0.721463687;0.402777778;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;88;42;20.95;M;2.2;1;9;0;ID;0;0;0;0;0;2;0;ID
2;18;2;0.095030117;0.037721893;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;42;36;11.67;M;0.73;1;51;0;ID;0;0;0;0;0;0;0;ID
2;19;3;0.758936773;0.43877551;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;78;39;20;M;3.49;3;10;0;ID;0;0;0;1;0;0;0;ID
2;20;2;0.376770161;0.21875;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;40;38;10.53;F;0.36;1;7;0;ID;0;0;0;0;0;0;0;ID
2;21;0;0;1;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;57;39;14.62;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
3;1;0;0;1;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;143;45;31.78;M;0;0;0;0;SM;0;0;0;0;0;0;0;SM
3;2;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;159;47;33.83;M;0.05;0;6;0;SM;0;0;0;0;0;0;0;SM
3;3;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;150;47;31.91;F;0.01;0;1;0;SM;0;0;0;0;0;0;0;SM
3;4;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;164;47;34.89;F;0.04;0;5;0;SM;0;0;0;0;0;0;0;SM
3;5;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;136;44;30.91;M;0.03;0;4;0;SM;0;0;0;0;0;0;0;SM
3;11;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;185;50;37;M;0.03;0;4;0;ID;0;0;0;0;0;0;0;PH
3;12;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;136;44;30.91;F;0.01;0;1;0;ID;0;0;0;0;0;0;0;PH
3;13;0;0;1;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;194;50;38.8;F;0;0;0;0;ID;0;0;0;0;0;0;0;ID
3;14;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;233;48;48.54;F;1.01;0;120;0;PH;0;0;0;0;0;0;0;PH
3;15;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;109;46;23.7;F;0.01;0;1;0;ID;0;0;0;0;0;0;0;ID
3;16;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;105;50;21;F;0.03;0;3;0;ID;0;0;0;0;0;0;0;ID
3;17;1;0;0;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;124;46;26.96;F;0.03;0;3;0;ID;0;0;0;0;0;0;0;ID
3;18;2;0.693147181;0.5;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;173;53;32.64;M;1.44;0;1;0;ID;1;0;0;0;0;0;0;ID
3;19;0;0;1;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;92;42;21.9;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
3;20;2;0.562335145;0.375;;20.1;7.5;475;3.6;0.29;6.2;38651.53331;32574.44868;1783;15827;5;152;49;31.02;F;0.33;1;3;0;ID;0;0;0;0;0;0;0;ID
4;1;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;45;31;14.52;M;0.4;0;47;0;SM;0;0;0;0;0;0;0;SM
4;2;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;59;36;16.39;M;0.19;0;22;0;SM;0;0;0;0;0;0;0;SM
4;3;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;36;29;12.41;M;0.21;0;25;0;SM;0;0;0;0;0;0;0;SM
4;4;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;40;31;12.9;M;0.14;0;17;0;SM;0;0;0;0;0;0;0;SM
4;5;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;18;24;7.5;M;1.27;0;151;0;SM;0;0;0;0;0;0;0;SM
4;6;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;40;30;13.33;F;0.26;0;31;0;SM;0;0;0;0;0;0;0;SM
4;7;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;52;33;15.76;M;0.44;0;52;0;SM;0;0;0;0;0;0;0;SM
4;8;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;25;26;9.62;F;0.37;0;44;0;SM;0;0;0;0;0;0;0;SM
4;9;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;30;29;10.34;M;0.68;0;81;0;SM;0;0;0;0;0;0;0;SM
4;10;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;30;29;10.34;M;0.78;0;92;0;SM;0;0;0;0;0;0;0;SM
4;11;1;0;0;;17.3;7.9;993;7.5;0.76;6.6;63911.70352;65226.64401;28980;6736;1;57;34;16.76;M;0.89;0;106;0;ID;0;0;0;0;0;0;0;ID
